epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,2718.65,0.83085,0.46515,1.13593,0.97885,0.94535,0.98042,0.76253,0.87837,0.34679,1.21179,0.00288656,0.00288656,0.00288656
138,2738.29,0.83993,0.4644,1.14156,0.98181,0.94635,0.98032,0.76446,0.87732,0.34513,1.20798,0.0028609,0.0028609,0.0028609
139,2757.94,0.83868,0.46067,1.13559,0.97841,0.95085,0.98156,0.76531,0.87408,0.34436,1.20991,0.0028352,0.0028352,0.0028352
140,2777.98,0.82921,0.4565,1.13973,0.97943,0.94989,0.98099,0.7649,0.87267,0.3443,1.21569,0.00280947,0.00280947,0.00280947
141,2797.99,0.82999,0.46121,1.13424,0.97843,0.94931,0.98113,0.76256,0.87547,0.34548,1.21913,0.00278371,0.00278371,0.00278371
142,2817.98,0.82535,0.45026,1.13565,0.98217,0.94681,0.98093,0.76528,0.8758,0.34195,1.21517,0.00275792,0.00275792,0.00275792
143,2837.97,0.83006,0.45368,1.13178,0.9812,0.94597,0.9806,0.76513,0.87341,0.34218,1.20935,0.0027321,0.0027321,0.0027321
144,2857.9,0.82483,0.4539,1.13543,0.97425,0.95299,0.98016,0.76397,0.87052,0.34151,1.20921,0.00270626,0.00270626,0.00270626
145,2877.87,0.8239,0.4497,1.13243,0.97205,0.95359,0.98163,0.7659,0.87157,0.33992,1.21334,0.00268041,0.00268041,0.00268041
146,2898.01,0.81554,0.44218,1.12614,0.97596,0.95777,0.98217,0.76711,0.87392,0.33851,1.2166,0.00265453,0.00265453,0.00265453
147,2918.1,0.83226,0.46371,1.13757,0.98082,0.95326,0.98341,0.76537,0.87305,0.33719,1.21875,0.00262864,0.00262864,0.00262864
148,2937.77,0.82019,0.4487,1.12836,0.98185,0.95258,0.98244,0.7664,0.87239,0.33612,1.219,0.00260274,0.00260274,0.00260274
149,2957.81,0.81193,0.44258,1.12457,0.97985,0.95129,0.98242,0.76488,0.87017,0.33621,1.21246,0.00257683,0.00257683,0.00257683
150,2977.72,0.8116,0.45974,1.12337,0.97934,0.9526,0.98283,0.76549,0.87174,0.33783,1.20976,0.00255092,0.00255092,0.00255092
151,2997.61,0.8085,0.44279,1.11761,0.97864,0.95342,0.98257,0.7665,0.87006,0.33715,1.2071,0.002525,0.002525,0.002525
152,3017.3,0.80078,0.43738,1.12155,0.97882,0.94867,0.98356,0.76559,0.86961,0.33753,1.2041,0.00249908,0.00249908,0.00249908
153,3037.06,0.80584,0.44673,1.12509,0.97573,0.95213,0.98298,0.76715,0.86953,0.33905,1.20531,0.00247317,0.00247317,0.00247317
154,3056.72,0.79084,0.43137,1.10713,0.98178,0.9437,0.98312,0.76791,0.86752,0.33663,1.2062,0.00244726,0.00244726,0.00244726
155,3076.32,0.799,0.43516,1.11128,0.97047,0.95623,0.98329,0.77079,0.8644,0.33593,1.20043,0.00242136,0.00242136,0.00242136
156,3096.05,0.80006,0.43372,1.11045,0.97048,0.95306,0.98412,0.77158,0.86382,0.3359,1.19855,0.00239547,0.00239547,0.00239547
157,3115.7,0.79399,0.43005,1.11056,0.97245,0.94969,0.98293,0.77191,0.86405,0.3366,1.19761,0.00236959,0.00236959,0.00236959
158,3135.34,0.81056,0.43659,1.11148,0.97472,0.9516,0.98372,0.77181,0.86329,0.33603,1.19453,0.00234374,0.00234374,0.00234374
