epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,5192.48,0.61051,0.35054,1.04314,0.97685,0.95547,0.97509,0.83304,0.67561,0.29648,1.03815,0.006931,0.006931,0.006931
126,5233.78,0.60231,0.34541,1.03952,0.97334,0.95577,0.97477,0.83426,0.67324,0.29525,1.04176,0.00690625,0.00690625,0.00690625
127,5275.35,0.61486,0.34993,1.04425,0.97101,0.95646,0.97565,0.83512,0.67039,0.29257,1.04169,0.0068815,0.0068815,0.0068815
128,5316.77,0.60342,0.34746,1.03549,0.97456,0.95171,0.97613,0.83631,0.66838,0.29231,1.03861,0.00685675,0.00685675,0.00685675
129,5356.71,0.60766,0.35272,1.02838,0.97465,0.95333,0.97693,0.83557,0.66618,0.29195,1.03749,0.006832,0.006832,0.006832
130,5394.86,0.6032,0.34524,1.03993,0.97862,0.95521,0.9778,0.83736,0.66066,0.28847,1.03503,0.00680725,0.00680725,0.00680725
131,5433.27,0.59651,0.34379,1.03398,0.97798,0.95496,0.97665,0.83714,0.66167,0.28692,1.03457,0.0067825,0.0067825,0.0067825
132,5471.51,0.60067,0.34716,1.03083,0.97702,0.95407,0.97643,0.8377,0.66118,0.28926,1.0307,0.00675775,0.00675775,0.00675775
133,5511.79,0.59265,0.34379,1.0295,0.97741,0.95353,0.97584,0.83778,0.65917,0.28974,1.0339,0.006733,0.006733,0.006733
134,5554.48,0.60331,0.35008,1.03024,0.97829,0.95405,0.97601,0.83801,0.6565,0.28866,1.03031,0.00670825,0.00670825,0.00670825
135,5596.08,0.59,0.34551,1.02674,0.97639,0.95408,0.97622,0.8393,0.65677,0.28934,1.03067,0.0066835,0.0066835,0.0066835
136,5634.94,0.59361,0.34689,1.03348,0.97414,0.9597,0.97617,0.8383,0.65656,0.28755,1.03177,0.00665875,0.00665875,0.00665875
137,5674.57,0.5853,0.34487,1.03387,0.97347,0.95952,0.97653,0.83912,0.65556,0.28465,1.0345,0.006634,0.006634,0.006634
138,5713.85,0.59308,0.33964,1.03617,0.97377,0.95613,0.97491,0.83726,0.65768,0.28454,1.03715,0.00660925,0.00660925,0.00660925
139,5752.54,0.58917,0.33707,1.03204,0.97326,0.95508,0.97582,0.83921,0.65322,0.28331,1.03471,0.0065845,0.0065845,0.0065845
140,5794,0.5892,0.34001,1.03195,0.97676,0.95345,0.9752,0.84015,0.65073,0.2837,1.0331,0.00655975,0.00655975,0.00655975
141,5835.9,0.58309,0.33894,1.02749,0.97837,0.9516,0.97619,0.8424,0.64758,0.28231,1.03053,0.006535,0.006535,0.006535
142,5877.69,0.5812,0.33729,1.02002,0.97214,0.95696,0.97628,0.842,0.64841,0.28241,1.02936,0.00651025,0.00651025,0.00651025
143,5920.2,0.5791,0.33696,1.02519,0.97274,0.95522,0.9759,0.84186,0.6495,0.2827,1.03017,0.0064855,0.0064855,0.0064855
144,5962.57,0.58498,0.33951,1.02469,0.97461,0.95529,0.97571,0.84137,0.64938,0.2814,1.03038,0.00646075,0.00646075,0.00646075
145,6004.33,0.58719,0.33734,1.02855,0.97582,0.95366,0.97466,0.84271,0.64819,0.28031,1.03186,0.006436,0.006436,0.006436
146,6046.83,0.57409,0.33424,1.02236,0.9746,0.95414,0.9751,0.8438,0.64873,0.27939,1.03312,0.00641125,0.00641125,0.00641125
147,6089.18,0.57579,0.32804,1.01919,0.97491,0.9535,0.97465,0.84509,0.64597,0.28023,1.03251,0.0063865,0.0063865,0.0063865
148,6130.51,0.57957,0.3356,1.02378,0.97817,0.9529,0.97594,0.84441,0.64457,0.27995,1.03253,0.00636175,0.00636175,0.00636175
149,6168.8,0.57443,0.33489,1.0201,0.97706,0.95312,0.97597,0.84598,0.6419,0.27914,1.03048,0.006337,0.006337,0.006337
150,6207.46,0.57573,0.33497,1.01925,0.97523,0.95488,0.97621,0.84662,0.64145,0.28034,1.02946,0.00631225,0.00631225,0.00631225
151,6247.49,0.56921,0.33478,1.01717,0.97692,0.95034,0.9764,0.84662,0.63907,0.27782,1.02826,0.0062875,0.0062875,0.0062875
152,6285.56,0.56722,0.33294,1.01367,0.9732,0.95405,0.97598,0.84601,0.63918,0.27823,1.0281,0.00626275,0.00626275,0.00626275
153,6327.75,0.5688,0.33226,1.0128,0.97438,0.95441,0.97547,0.846,0.64004,0.2812,1.02817,0.006238,0.006238,0.006238
154,6369.74,0.56932,0.33086,1.01519,0.97382,0.95211,0.97439,0.84451,0.63913,0.28057,1.02726,0.00621325,0.00621325,0.00621325
155,6409.15,0.57533,0.33618,1.02084,0.97474,0.95451,0.97501,0.84655,0.63749,0.27988,1.0254,0.0061885,0.0061885,0.0061885
156,6447.28,0.55793,0.32741,1.01399,0.97695,0.95519,0.97658,0.8462,0.6367,0.27874,1.02393,0.00616375,0.00616375,0.00616375
157,6488.76,0.56033,0.31912,1.00757,0.97831,0.95456,0.97672,0.84526,0.63684,0.27782,1.02426,0.006139,0.006139,0.006139
158,6529.76,0.56318,0.32913,1.00834,0.97789,0.9516,0.97639,0.84703,0.63472,0.27776,1.02283,0.00611425,0.00611425,0.00611425
159,6570.53,0.54795,0.31924,1.00102,0.97846,0.95328,0.97724,0.84675,0.6344,0.27643,1.0225,0.0060895,0.0060895,0.0060895
160,6611.97,0.55733,0.32755,1.01261,0.97636,0.95429,0.97741,0.84777,0.63367,0.27599,1.02274,0.00606475,0.00606475,0.00606475
161,6654.11,0.55751,0.32367,1.01146,0.97963,0.95246,0.97737,0.84871,0.6329,0.27723,1.02295,0.00604,0.00604,0.00604
162,6695.05,0.56436,0.3261,1.01337,0.97729,0.95415,0.97736,0.8482,0.6324,0.27787,1.02272,0.00601525,0.00601525,0.00601525
